{'R_grad_norm': 0.07467170046642423, 'training_loss': 0.32376798540353774}
{'R_grad_norm': 0.0770878960378468, 'training_loss': 0.317084986269474}
{'R_grad_norm': 0.0763930588774383, 'training_loss': 0.3093719707429409}
{'R_grad_norm': 0.07919078044593335, 'training_loss': 0.3016793872416019}
{'R_grad_norm': 0.08577487330883742, 'training_loss': 0.2935257628560066}
{'R_grad_norm': 0.08762587986886501, 'training_loss': 0.28124641537666323}
{'R_grad_norm': 0.08359843688085675, 'training_loss': 0.2734264536201954}
{'R_grad_norm': 0.08199797071516514, 'training_loss': 0.2708428331464529}
{'R_grad_norm': 0.08067623311653734, 'training_loss': 0.26940311402082445}
{'R_grad_norm': 0.08002918098121882, 'training_loss': 0.26856961615383623}
{'R_grad_norm': 0.08034292312338948, 'training_loss': 0.26655385628342626}
{'R_grad_norm': 0.08279996696859598, 'training_loss': 0.26879628784954546}
{'R_grad_norm': 0.08041126871481538, 'training_loss': 0.26656930938363077}
{'R_grad_norm': 0.08167392589151859, 'training_loss': 0.2662179614603519}
{'R_grad_norm': 0.08132965940982104, 'training_loss': 0.2647359275072813}
{'R_grad_norm': 0.08057632368057967, 'training_loss': 0.264529248252511}
{'R_grad_norm': 0.08063769469037652, 'training_loss': 0.26174271024763585}
{'R_grad_norm': 0.08199583556503058, 'training_loss': 0.2613313237577677}
{'R_grad_norm': 0.08132868772372603, 'training_loss': 0.261299444809556}
{'R_grad_norm': 0.08129709063097834, 'training_loss': 0.2608423610776663}
{'R_grad_norm': 0.0818032543361187, 'training_loss': 0.2608343008905649}
{'R_grad_norm': 0.08169960075989366, 'training_loss': 0.26017799466848374}
{'R_grad_norm': 0.08079904284328222, 'training_loss': 0.2597025150805712}
{'R_grad_norm': 0.08153864238411188, 'training_loss': 0.2590575142204761}
{'R_grad_norm': 0.08334936197847127, 'training_loss': 0.25851242497563365}
{'R_grad_norm': 0.08236866198480129, 'training_loss': 0.2572173994779587}
{'R_grad_norm': 0.08147264491766691, 'training_loss': 0.25724707283079623}
{'R_grad_norm': 0.08203192431479693, 'training_loss': 0.2562700355798006}
{'R_grad_norm': 0.08293334616348147, 'training_loss': 0.25668271966278555}
{'R_grad_norm': 0.0819389527477324, 'training_loss': 0.25448494255542753}
{'R_grad_norm': 0.08300851097330451, 'training_loss': 0.25513054721057415}
{'R_grad_norm': 0.0820633614435792, 'training_loss': 0.2547042678296566}
{'R_grad_norm': 0.0836267888918519, 'training_loss': 0.2554964791983366}
{'R_grad_norm': 0.08223562244325876, 'training_loss': 0.25395508445799353}
{'R_grad_norm': 0.0814201457053423, 'training_loss': 0.2540227688848972}
{'R_grad_norm': 0.08140908291563392, 'training_loss': 0.2540643033385277}
{'R_grad_norm': 0.08295076137408613, 'training_loss': 0.2535090497136116}
{'R_grad_norm': 0.08343058954924346, 'training_loss': 0.2533343826979399}
{'R_grad_norm': 0.08328287618234753, 'training_loss': 0.25268585413694383}
{'R_grad_norm': 0.08275319846346975, 'training_loss': 0.2525911095738411}
{'R_grad_norm': 0.0819646842777729, 'training_loss': 0.25216161370277407}
{'R_grad_norm': 0.08228867156431079, 'training_loss': 0.25256922490894795}
{'R_grad_norm': 0.08251490924507379, 'training_loss': 0.25306089498102663}
{'R_grad_norm': 0.08254625266417862, 'training_loss': 0.2516993557661772}
{'R_grad_norm': 0.0821493198722601, 'training_loss': 0.2524945545196533}
{'R_grad_norm': 0.0832811320386827, 'training_loss': 0.2515912682563066}
{'R_grad_norm': 0.08278379319235682, 'training_loss': 0.2521385761350393}
{'R_grad_norm': 0.0824696872010827, 'training_loss': 0.2527927090227604}
{'R_grad_norm': 0.08271044895052909, 'training_loss': 0.2521739907562733}
{'R_grad_norm': 0.08309761956334114, 'training_loss': 0.2525845666974783}
******* FINISHED: reached max_steps (10000)
evaluating (25 steps)...
 ******* eval result *******
mean (weighted) 0.11628087610006332
mean (unweighted) 0.11628087610006332
tensor([0.1116, 0.1209])
